2024-12-04 11:42:18,183 INFO    MainThread:4263 [wandb_setup.py:_flush():79] Current SDK version is 0.18.7
2024-12-04 11:42:18,184 INFO    MainThread:4263 [wandb_setup.py:_flush():79] Configure stats pid to 4263
2024-12-04 11:42:18,184 INFO    MainThread:4263 [wandb_setup.py:_flush():79] Loading settings from /Users/damirnurtdinov/.config/wandb/settings
2024-12-04 11:42:18,184 INFO    MainThread:4263 [wandb_setup.py:_flush():79] Loading settings from /Users/damirnurtdinov/Desktop/My Courses/Диплом/RL_CDPR_MuJoCo/mujoco_py/wandb/settings
2024-12-04 11:42:18,184 INFO    MainThread:4263 [wandb_setup.py:_flush():79] Loading settings from environment variables: {}
2024-12-04 11:42:18,184 INFO    MainThread:4263 [wandb_setup.py:_flush():79] Applying setup settings: {'mode': None, '_disable_service': None}
2024-12-04 11:42:18,184 INFO    MainThread:4263 [wandb_setup.py:_flush():79] Inferring run settings from compute environment: {'program': '<python with no main file>'}
2024-12-04 11:42:18,184 INFO    MainThread:4263 [wandb_setup.py:_flush():79] Applying login settings: {}
2024-12-04 11:42:18,184 INFO    MainThread:4263 [wandb_init.py:_log_setup():533] Logging user logs to /Users/damirnurtdinov/Desktop/My Courses/Диплом/RL_CDPR_MuJoCo/mujoco_py/wandb/run-20241204_114218-lurp6bra/logs/debug.log
2024-12-04 11:42:18,184 INFO    MainThread:4263 [wandb_init.py:_log_setup():534] Logging internal logs to /Users/damirnurtdinov/Desktop/My Courses/Диплом/RL_CDPR_MuJoCo/mujoco_py/wandb/run-20241204_114218-lurp6bra/logs/debug-internal.log
2024-12-04 11:42:18,184 INFO    MainThread:4263 [wandb_init.py:_jupyter_setup():479] configuring jupyter hooks <wandb.sdk.wandb_init._WandbInit object at 0x161539cd0>
2024-12-04 11:42:18,184 INFO    MainThread:4263 [wandb_init.py:init():619] calling init triggers
2024-12-04 11:42:18,184 INFO    MainThread:4263 [wandb_init.py:init():626] wandb.init called with sweep_config: {}
config: {}
2024-12-04 11:42:18,184 INFO    MainThread:4263 [wandb_init.py:init():669] starting backend
2024-12-04 11:42:18,184 INFO    MainThread:4263 [wandb_init.py:init():673] sending inform_init request
2024-12-04 11:42:18,185 INFO    MainThread:4263 [backend.py:_multiprocessing_setup():104] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
